id,name,category,leetcode_url,status,first_completed,last_reviewed,next_review,review_count,difficulty_history
1,"Two Sum","Arrays & Hashing","https://leetcode.com/problems/two-sum/","not_started","","","",0,""
2,"Valid Anagram","Arrays & Hashing","https://leetcode.com/problems/valid-anagram/","not_started","","","",0,""
3,"Group Anagrams","Arrays & Hashing","https://leetcode.com/problems/group-anagrams/","not_started","","","",0,""
4,"Top K Frequent Elements","Arrays & Hashing","https://leetcode.com/problems/top-k-frequent-elements/","not_started","","","",0,""
5,"Product of Array Except Self","Arrays & Hashing","https://leetcode.com/problems/product-of-array-except-self/","not_started","","","",0,""
6,"Valid Sudoku","Arrays & Hashing","https://leetcode.com/problems/valid-sudoku/","not_started","","","",0,""
7,"Encode and Decode Strings","Arrays & Hashing","https://leetcode.com/problems/encode-and-decode-strings/","not_started","","","",0,""
8,"Longest Consecutive Sequence","Arrays & Hashing","https://leetcode.com/problems/longest-consecutive-sequence/","not_started","","","",0,""
9,"Valid Parentheses","Stack","https://leetcode.com/problems/valid-parentheses/","not_started","","","",0,""
10,"Min Stack","Stack","https://leetcode.com/problems/min-stack/","not_started","","","",0,""
11,"Evaluate Reverse Polish Notation","Stack","https://leetcode.com/problems/evaluate-reverse-polish-notation/","not_started","","","",0,""
12,"Generate Parentheses","Stack","https://leetcode.com/problems/generate-parentheses/","not_started","","","",0,""
13,"Daily Temperatures","Stack","https://leetcode.com/problems/daily-temperatures/","not_started","","","",0,""
14,"Car Fleet","Stack","https://leetcode.com/problems/car-fleet/","not_started","","","",0,""
15,"Largest Rectangle in Histogram","Stack","https://leetcode.com/problems/largest-rectangle-in-histogram/","not_started","","","",0,""
16,"Valid Palindrome","Two Pointers","https://leetcode.com/problems/valid-palindrome/","not_started","","","",0,""
17,"Two Sum II - Input Array Is Sorted","Two Pointers","https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/","not_started","","","",0,""
18,"3Sum","Two Pointers","https://leetcode.com/problems/3sum/","not_started","","","",0,""
19,"Container With Most Water","Two Pointers","https://leetcode.com/problems/container-with-most-water/","not_started","","","",0,""
20,"Trapping Rain Water","Two Pointers","https://leetcode.com/problems/trapping-rain-water/","not_started","","","",0,""
21,"Best Time to Buy and Sell Stock","Sliding Window","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","not_started","","","",0,""
22,"Longest Substring Without Repeating Characters","Sliding Window","https://leetcode.com/problems/longest-substring-without-repeating-characters/","not_started","","","",0,""
23,"Longest Repeating Character Replacement","Sliding Window","https://leetcode.com/problems/longest-repeating-character-replacement/","not_started","","","",0,""
24,"Permutation in String","Sliding Window","https://leetcode.com/problems/permutation-in-string/","not_started","","","",0,""
25,"Minimum Window Substring","Sliding Window","https://leetcode.com/problems/minimum-window-substring/","not_started","","","",0,""
26,"Sliding Window Maximum","Sliding Window","https://leetcode.com/problems/sliding-window-maximum/","not_started","","","",0,""
27,"Binary Search","Binary Search","https://leetcode.com/problems/binary-search/","not_started","","","",0,""
28,"Search a 2D Matrix","Binary Search","https://leetcode.com/problems/search-a-2d-matrix/","not_started","","","",0,""
29,"Koko Eating Bananas","Binary Search","https://leetcode.com/problems/koko-eating-bananas/","not_started","","","",0,""
30,"Find Minimum in Rotated Sorted Array","Binary Search","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/","not_started","","","",0,""
